2023-12-22 21:46:28 | transfer1.txt | 11111-11111|60000-00001|3000 | ошибка во время обработки, неверная сумма перевода
2023-12-22 21:46:28 | transfer1.txt | 12345-54321|10000-00001|450 | успешно обработан
2023-12-22 21:46:28 | transfer2.txt | 22222-22222|60000-00001|100.0 | успешно обработан
2023-12-22 21:46:28 | transfer2.txt | 45454-45454|56774-45663|35.9 | успешно обработан
2023-12-22 21:47:50 | transfer1.txt | 11111-11111|60000-00001|3000 | ошибка во время обработки, неверная сумма перевода
2023-12-22 21:49:29 | transfer1.txt | 12345-54321|10000-00001|450 | успешно обработан
2023-12-22 21:49:29 | transfer2.txt | 22222-22222|60000-00001|100.0 | успешно обработан
2023-12-22 21:49:29 | transfer2.txt | 45454-45454|56774-45663|35.9 | успешно обработан
2023-12-22 21:50:06 | transfer1.txt | 11111-11111|60000-00001|3000 | ошибка во время обработки, неверная сумма перевода
2023-12-22 21:50:35 | transfer1.txt | 12345-54321|10000-00001|450 | успешно обработан
2023-12-22 21:50:37 | transfer2.txt | 22222-22222|60000-00001|100.0 | успешно обработан
2023-12-22 21:50:37 | transfer2.txt | 45454-45454|56774-45663|35.9 | успешно обработан
2023-12-22 21:50:40 | transfer1.txt | 11111-11111|60000-00001|3000 | ошибка во время обработки, неверная сумма перевода
2023-12-22 21:50:40 | transfer1.txt | 12345-54321|10000-00001|450 | успешно обработан
2023-12-22 21:50:40 | transfer2.txt | 22222-22222|60000-00001|100.0 | успешно обработан
2023-12-22 21:50:40 | transfer2.txt | 45454-45454|56774-45663|35.9 | успешно обработан
2023-12-22 21:51:18 | transfer1.txt | 11111-11111|60000-00001|3000 | ошибка во время обработки, неверная сумма перевода
2023-12-22 21:51:26 | transfer1.txt | 12345-54321|10000-00001|450 | успешно обработан
2023-12-22 21:51:55 | transfer2.txt | 22222-22222|60000-00001|100.0 | успешно обработан
2023-12-22 21:52:10 | transfer2.txt | 45454-45454|56774-45663|35.9 | успешно обработан
2023-12-22 21:53:54 | transfer1.txt | 11111-11111|60000-00001|3000 | ошибка во время обработки, неверная сумма перевода
2023-12-22 21:53:54 | transfer1.txt | 12345-54321|10000-00001|450 | успешно обработан
2023-12-22 21:53:54 | transfer2.txt | 22222-22222|60000-00001|100.0 | успешно обработан
2023-12-22 21:53:54 | transfer2.txt | 45454-45454|56774-45663|35.9 | успешно обработан
2023-12-22 21:57:28 | transfer1.txt | 11111-11111|60000-00001|3000 | ошибка во время обработки, неверная сумма перевода
2023-12-22 21:57:28 | transfer1.txt | 12345-54321|10000-00001|450 | успешно обработан
2023-12-22 21:57:28 | transfer2.txt | 22222-22222|60000-00001|100.0 | успешно обработан
2023-12-22 21:57:28 | transfer2.txt | 45454-45454|56774-45663|35.9 | успешно обработан
2023-12-22 21:59:07 | transfer1.txt | 11111-11111|60000-00001|3000 | ошибка во время обработки, неверная сумма перевода
2023-12-22 21:59:07 | transfer1.txt | 12345-54321|10000-00001|450 | успешно обработан
2023-12-22 21:59:07 | transfer2.txt | 22222-22222|60000-00001|100.0 | успешно обработан
2023-12-22 21:59:07 | transfer2.txt | 45454-45454|56774-45663|35.9 | успешно обработан
2023-12-22 22:05:29 | transfer1.txt | 11111-11111|60000-00001|3000 | ошибка во время обработки, неверная сумма перевода
2023-12-22 22:05:29 | transfer1.txt | 12345-54321|10000-00001|450 | успешно обработан
2023-12-22 22:05:29 | transfer2.txt | 22222-22222|60000-00001|100.0 | успешно обработан
2023-12-22 22:05:29 | transfer2.txt | 45454-45454|56774-45663|35.9 | успешно обработан
2023-12-22 22:06:17 | transfer1.txt | 11111-11111|60000-00001|3000 | ошибка во время обработки, неверная сумма перевода
2023-12-22 22:06:17 | transfer1.txt | 12345-54321|10000-00001|450 | успешно обработан
2023-12-22 22:06:17 | transfer2.txt | 22222-22222|60000-00001|100.0 | успешно обработан
2023-12-22 22:06:17 | transfer2.txt | 45454-45454|56774-45663|35.9 | успешно обработан
2023-12-22 22:08:13 | transfer1.txt | 011111-11111|60000-00001|3000 | ошибка во время обработки, невалидный номер счета 011111-11111
2023-12-22 22:08:13 | transfer1.txt | 12345-54321|10000-00001|450 | успешно обработан
2023-12-22 22:08:13 | transfer2.txt | 22222-22222|60000-00001|100.0 | успешно обработан
2023-12-22 22:08:13 | transfer2.txt | 45454-45454|56774-45663|35.9 | успешно обработан
2023-12-22 22:09:33 | transfer1.txt | 11111-11111|60000-00001|3000 | ошибка во время обработки, неверная сумма перевода
2023-12-22 22:09:33 | transfer1.txt | 12345-54321|10000-00001|450 | успешно обработан
2023-12-22 22:09:33 | transfer2.txt | 22222-22222|60000-00001|100.0 | успешно обработан
2023-12-22 22:09:33 | transfer2.txt | 45454-45454|56774-45663|35.9 | успешно обработан
2023-12-22 22:09:33 | transfer2.txt | 85915-45375|60000-00001|-20.7 | успешно обработан
